judul,alamat,deskripsi,kamar,bangunan,lahan,harga
Promo Rumah Mewah Akhir Tahun,"Antapani, Bandung","Promo akhir tahun !! Hanya 500 jt-an + FREE SHM ! Rumah mewah 2.5 lt + Rooftop Mengusung konsep buying the view yang  menawarkan pemandangan terbaik kota Bandung Barat dan Waterpark terbesar di Asia didukung dengan Fasilitas eksklusif seperti  Playground, Jogging Track, Swimming Pool, Masjid, BbQ Area juga akses yang mudah dijangkau dari GT Tol Padalarang,  dari IKEA maupun Jalan Raya Padalarang , The EMERALDA Resort  merupakan kawasan masa depan bernilai investasi tinggi. Segera hubungi marketing kami dan jadwalkan survey ke lokasi untuk membuktikannya !!",3,75,84,590000000
Rumah modern Readystock di bandung raya cimahi dekat tol pasteur,"Bandung Wetan, Bandung","Rumah Baru modern 2 LT di Sayap Kota Cimahi dekat tol pasteur dan tol baros akses strategis bisa menghubungkan 2 kota dalam waktu singkat... Hanya 5 menit ke Cimahi Pemkot dan hanya 10 menit ke Bandung Utara Setiabudi, Sarijadi Pasteur Anda akan nyaman sekali disini karena udara khas pegunungan sejuk dan Air yang jernih Lokasi Best City View",3,70,71,700000000
Dijual rumah 300 jutaan jalan lebar dekat Ikea dan tol padalarang bandung,"Padalarang, Bandung",*Jadilah konsumen CERDAS !* *Tips singkat sebelum Anda Beli rumah*  Sebelum beli rumah  Cek dulu - lokasinya sudah di bangun atau belum - Legalitasnya - Sertifikat nya - Yg panting adalah IMB nya SDH ada atau belum  *Ini penting jangan beli rumah belum jelas IZINya!*  *Techno Regency Padalarang*   Salah satu kawasan perumahan yg hanya jarak 13 menitan dari TOL gate kota baru Parahyangan .  *Sudah Terbangun 120 unit* - Izin lengkap - Sertifikat dan IMB sudah Split  - Siap Akad  Rumah Siap Di bangun  *DAPATKAN PROMO* DP.10JT ( ALL IN )  Info lebih lanjut Hubungi  TRI KURNIAWAN WA,2,36,72,386000000
Dijual PROMO rumah 2 lantai di sayap Setiabudi Bandung,Bandung,"Copy writing nasc  NUANSA ALAM SETIABUDHI CLOVE  berada di sayap setiabudhi atas yang merupakan wilayah favorit untuk hunian, udara sejuk view keren air jernih sangatlah menyehatkan.  ada beberapa type rumah yang kami tawarkan.  TYPE LAVENDER 477 juta TYPE WINTERGREEN DELUXE 557 juta TYPE ROSEMARY 650 juta TYPE WINTERGREEN LUXURY 757 juta TYPE SANDALWOOD 799 juta  Apa keuntungannya? - dapat fasilitas perumahan - green house - club house - one gate system - Cctv - mesjid - dekat ke UPI - dekat ke terminal ledeng - dekat ke kawasan wisata lembang - cocok untuk tinggal maupun untuk invest - harga masih murah  Cara bayar - cash keras - Cash bertahap booking fee 5 juta harga belum all in  Info Lengkap dan survei hubungi  TRI KURNIAWAN WA",2,60,60,499000000
"Rumah Strategis Siap Huni di dekat Tol Cileunyi & Gedebage, Polda Jabar, Bandung","Cibiru Hilir, Bandung","Hunian Nyaman di Cibiru, Cileunyi, Bandung Timur  Harga Rp. 397,5 Juta (Serius bisa nego)  Detail : - Tipe Rumah Siap Huni - Luas Tanah 114 m² - Luas Bangunan 90 m² - Lebar Muka 6 mtr - Sertifikat SHM - IMB Ada - Kamar Tidur 2 - Kamar Mandi 2 - Jumlah Lantai 1 - Listrik 900 Watt - Hadap Utara - Sumber Air Pompa Bor - Bangunan Tahun 2009  Keterangan Tambahan : - Pada bagian depan / teras, terdapat ruangan tambahan yang cukup luas, yang bisa dijadikan tempat usaha atau buat peruntukan yang lain - Lokasi rumah berada di sisi jalan Utama perumahan Bumi Harapan Cibiru. - Jalan depan rumah lebar dan terdapat 2 jalur dengan total lebar +/- 10 mtr  Keterangan Lokasi rumah : - 150 mtr dari stasiun Cimekar, dengan kereta KRD hanya butuh 20 menit utk ke pusat kota Bandung - 1 km dari stadion GBLA - 2,5 km dari Summarecon - 1,5 km dari Islamic Center Bandung (Masjid Apung ""Al Jabbar"", Cimencrang) - 1 km dari UPI Cibiru dan SMA 1 Cileunyi - 4 km dari tol Cileunyi - 2 km ke jalan propinsi Cibiru - Cileunyi - 100 mtr ke Masjid besar di dalam perumahan - 100 mtr ke danau retensi (buatan) yang nyaman untuk bersantai dan olah raga (terdapat Jogging track).  Survey lokasi yuuks !",2,90,114,397500000
Rumah Bandung Luas type 60/60 Promo Awal Tahun Murah Harga Ekonomis,"Setiabudi, Bandung","WINTERGREEN DELUXE
Hargta Promo 557jt
Harga Normal 657jt
Bangunan 2 lantai
- Luas tanah 60 mtr (6 ×10)
- Luas bangunan 60 mtr
- 2 kamar tidur
- 2 kamar mandi
Banyak sekali keuntungannya
- udara sejuk
- air jernih dan banyak
- tiap hari dapat pemandangan gunung ataupun city view
- dapat fasilitas perumahan
- green house
- club house
- one gate system
- mesjid
- dekat ke kawasan wisata lembang
- cocok untuk tinggal maupun untuk invest
- dekat UPI
- dekat terminal ledeng
- dekat peneropongan bintang bosscha
Kunjungi Kantor pemasaran nuansa alam setiabudi clove untuk informasi lebih lanjut.",2,60,60,557000000
Dijual rumah 2 lantai hanya 400 jutaan dekat Podomoro park dan tol Buah Batu,"Buahbatu (Margacinta), Bandung","Nyari rumah dengan harga Hanya 400 Juta'an dengan lokasi yg strategis,nyaman, dan yg pastinya aman ?   Lokasi : -10 menit Ke jalan utama Terusan Buahbatu -14 menit ke Kampus telkom -14 menit ke transamart Buah batu -15 menit ke gerang tol buah batu -10 menit ke Podomoro park Dll  Tersedia :  Rumah 2 Lantai Tipe 48/80 2KT 1KM R.Tamu R.Keluarga Carport & taman depan,belakang Balkon   PROMO CASH Hanya 400 jtaan. (Free Biaya surat² & Pajak)  segera survei lokasi, dan booking unitnya.. Sebelum kehabisan..   Info Lengkap dab Survei Hubungi  TRI KURNIAWAN WA",2,48,80,448000000
Rumah pilar tanjungsari semi cluster,Bandung,"RUMAH MURAH, RUMAH MINIMALIS, RUMAH BEBAS DESAIN, LOKASI STRATEGIS TAHAP KE 1 KAVLING SEMI CLUSTER PILAR TANJUNGSARI  Jln Raya Soreang Tanjungsari Kab. Bandung . .Dapatkan Segera Kesempatan dan penawaran terbaik. STOK TERBATAS . Type 21/40 Harga Rp. 115.000.000 Type 30/40 Harga Rp. 125.000.000 Type 36/60 Harga Rp. 150.000.000 Type 60/80 Harga Rp. 250.000.000 Type 70/120 Harga Rp. 300.000.000 BONUS HANYA UNTUK CASH KERAS Meja kompor Kanopy Closet duduk Dinding kramik toilet . . Spesifikasi Bangunan ; Free Design Pondasi Batu Kali Struktur Beton Bertulang Dinding Bata Merah Diplester, Diaci dan Dicat Palfond GRC Rangka Atap Kayu Genteng Jatiwangi Keramik 40x40 Air Semi Jetpump Listrik Token 900 Watt Legalitas AJB ( Bisa Upgrade SHM ) Selling Point : Fasilitas Pendidikan 10 Menit ke RSUD Soreang 10 Menit ke Polres Soreang  15 menit ke Pintu Tol SEROJA 15 Menit Ke PEMKAB Soreang 15 Menit Ke Gedung Budaya Sabilulungan 8 Menit Pasar Tradisional dan Modern Dekat dengan Tempat Wisata Bandung Selatan 100 % Bebas dari Banjir Kualitas Bangunan Prima Bangunan Semi Cluster Legalitas Aman & Jelas Free Design . . Sistem Pembayaran : Cash Keras / Cash Bertahap / Kredit tanpa bank Booking Fee 5 Jt ( Sudah termasuk Harga Jual ) . . Info lebih lanjut bisa Hub. Diki Firman subhi  CV. Mitra Artha Property",2,36,60,150000000
"LANGKA!!! Dijual rumah kos strategis lokasi premium mainroad sayap Dago, Bandung","Dago, Bandung","LANGKA!!! Dijual rumah kos strategis lokasi premium mainroad sayap Dago, Bandung  LT 620m2 LB 200m2 (yg di PBB)  KT 7 KM 7 KTP 1 air PDAM Listrik 2200watt Garasi 2 Carport 3 Hadapi barat SHM  Lokasi EMAS sangat cocok untuk : cafe, restoran, kantor,les privat, dll  HARGA 22,5M nego   (Budi best 1pro)  Tlp/WA",7,200,620,22500000000
"Viral!! Rumah murah 2,5 lantai hanya 500 jtan di Bandung!! Unit terbatas","Padalarang, Bandung","THE EMERALDA RESORT BANDUNG - RUMAH DKT PINTU TOL PADALARANG! HOT LISTING!  THE EMERALDA RESORT Perumahan Premium Terbaru di Bandung Barat, Mengusung Konsep ""Buying The View"" memberikan sebuah Hunian dengan View terbaik di Bandung Barat.  DIBUKA CLUSTER TERBARU JANET PARK   TYPE 75 L. Bangunan 75m2 L. Tanah 84m2 2,5 Lantai - 3 K. Tidur 3 K. Mandi  MINAT HUB : Mr. Rivaldi Fauzan WA",3,75,84,580000000
